Age,FrequentFlyer,AnnualIncomeClass,ServicesOpted,AccountSyncedToSocialMedia,BookedHotelOrNot,Target
34,1,3,6,0,1,0
34,3,2,5,1,1,1
37,1,3,3,1,0,0
30,1,3,2,0,0,0
30,1,2,1,0,0,0
27,3,1,1,0,1,1
34,1,3,4,1,1,0
34,1,2,2,1,0,1
30,1,2,3,0,1,0
36,3,1,1,0,0,1
34,1,2,1,1,1,0
28,1,3,2,0,0,1
35,2,3,1,1,1,0
34,3,2,4,0,0,0
34,1,3,5,0,0,0
37,3,2,6,0,1,0
30,1,2,1,1,1,0
30,3,1,1,1,0,0
31,1,3,1,0,1,0
37,1,2,2,1,0,1
30,1,3,4,0,1,0
31,3,1,1,0,0,1
34,3,2,1,1,0,0
30,2,3,2,0,0,0
34,1,3,1,0,1,0
38,3,2,1,0,1,0
37,1,3,3,1,0,0
30,1,3,5,1,0,0
28,1,2,1,1,0,0
34,3,1,1,0,0,0
33,1,3,6,0,1,0
34,1,2,2,0,0,0
27,1,3,3,1,0,0
35,3,1,1,0,0,1
30,2,2,4,0,0,0
36,1,3,2,0,1,0
34,3,2,1,1,1,0
37,3,2,1,1,0,1
37,1,3,3,0,0,0
36,1,3,2,0,0,0
27,1,2,5,0,1,0
36,3,1,4,0,0,0
28,1,3,1,1,1,0
30,1,2,2,0,0,0
27,1,3,3,0,0,0
37,3,1,6,0,1,1
27,1,2,1,1,0,0
38,1,3,2,1,0,0
30,1,3,4,0,1,0
34,3,2,1,0,0,0
34,3,2,3,0,1,1
31,1,3,2,0,0,0
34,1,2,1,1,0,0
30,3,1,5,0,0,0
31,1,3,1,0,1,0
28,1,2,4,1,1,1
30,2,3,3,1,1,0
37,3,1,1,1,0,1
36,1,2,1,0,0,0
36,1,3,2,0,0,0
34,1,3,6,0,1,0
35,3,2,1,0,0,0
30,1,3,4,1,0,0
29,1,3,2,0,0,0
33,3,2,1,1,1,0
28,3,1,1,0,1,1
33,1,3,5,1,1,0
37,2,2,2,1,0,1
31,1,3,3,0,0,0
34,3,1,4,0,0,1
37,1,2,1,0,1,0
30,1,2,2,0,0,0
30,1,3,1,1,1,0
30,3,2,1,1,0,1
30,1,3,3,0,0,0
37,1,3,6,0,1,0
31,1,2,4,1,0,0
34,3,1,1,1,0,0
34,3,2,1,0,1,0
34,1,2,5,0,0,0
28,1,3,3,0,1,0
27,3,1,1,0,0,1
30,1,2,1,1,0,0
37,1,3,4,0,0,0
35,1,3,1,0,1,0
27,3,2,1,0,1,1
35,1,3,3,1,0,0
30,1,3,2,1,0,0
37,1,2,1,0,1,0
30,3,1,1,0,0,0
29,1,3,6,0,1,0
30,1,2,2,1,0,1
30,1,2,5,1,0,0
36,3,1,1,0,0,1
37,1,2,1,0,0,0
28,1,3,2,0,1,1
30,1,3,1,1,1,0
31,3,2,4,1,0,1
31,1,3,3,0,0,0
31,1,2,2,0,0,0
30,2,2,1,1,1,0
36,3,1,1,0,0,0
31,1,3,1,1,1,0
28,1,2,2,0,0,1
30,1,3,4,0,1,0
30,3,1,6,0,1,1
37,3,2,1,1,0,0
37,1,3,2,1,0,0
28,1,3,1,0,1,0
27,3,2,1,1,0,1
34,1,3,3,0,1,0
30,2,3,4,0,0,0
33,1,2,1,1,1,0
31,3,1,1,0,0,0
31,1,3,1,0,1,0
31,1,2,2,0,1,0
30,1,3,3,1,0,0
34,3,1,1,1,0,1
34,1,2,5,1,0,0
34,1,3,2,0,0,0
30,1,2,6,0,1,0
28,3,2,1,0,0,1
35,2,3,3,1,0,0
29,1,3,2,0,0,0
35,1,2,1,0,0,0
31,3,1,4,0,1,0
35,1,3,1,1,1,0
29,1,2,2,1,0,1
34,1,3,3,0,1,0
31,3,1,1,0,0,1
30,1,2,1,0,1,0
30,1,3,5,0,0,0
30,1,3,4,1,1,0
27,3,2,1,0,0,1
30,1,2,3,0,0,0
30,1,3,6,0,1,0
31,1,2,1,1,1,0
31,3,1,1,1,0,0
30,1,3,1,0,1,0
38,1,2,4,0,0,0
30,1,3,3,0,1,0
27,3,1,1,0,0,1
35,1,2,1,1,0,0
28,1,3,2,0,0,1
34,2,3,5,0,1,0
30,3,2,1,1,1,1
33,1,3,4,1,0,0
34,1,3,2,1,0,0
27,1,2,1,0,0,0
30,3,1,1,0,0,0
30,1,3,6,0,1,0
31,1,2,2,0,0,0
30,1,3,3,1,1,0
27,3,1,4,0,0,1
30,1,2,1,1,0,0
37,3,2,2,0,1,0
30,1,3,1,1,1,0
30,3,2,5,1,0,1
34,1,3,3,0,0,0
29,1,3,2,0,0,0
34,1,2,4,0,1,0
37,3,1,1,0,0,0
37,3,2,1,1,1,0
35,1,2,2,1,0,1
30,1,3,3,0,0,0
36,3,1,6,0,1,1
30,2,2,1,1,0,0
34,1,3,4,1,0,0
29,1,3,1,0,1,0
27,3,2,1,0,0,1
34,1,3,5,0,1,0
30,1,3,2,0,0,0
29,1,2,1,1,0,0
28,3,1,1,0,0,1
37,1,3,4,0,1,0
33,1,2,2,0,1,0
37,3,2,3,1,1,1
30,3,1,1,1,0,1
35,1,2,1,0,0,0
28,1,3,2,0,0,1
30,1,3,6,0,1,0
28,3,2,4,1,0,1
38,1,3,3,1,0,0
27,1,2,5,0,0,1
27,1,2,1,0,0,0
30,3,1,1,0,1,0
30,1,3,1,1,1,0
30,1,2,2,1,0,1
28,2,3,4,0,0,0
28,3,1,1,0,0,1
29,1,2,1,1,1,0
33,1,3,2,0,0,0
30,1,3,1,1,1,0
37,3,2,1,0,0,0
36,1,3,3,0,0,0
27,1,3,6,0,1,1
37,1,2,5,1,0,1
31,3,1,1,1,0,0
27,1,3,1,0,1,0
33,2,2,2,1,0,1
29,1,3,3,0,1,0
34,3,1,1,0,0,1
30,1,2,4,1,0,0
30,1,3,2,0,0,0
35,3,2,1,0,1,0
31,3,2,1,0,1,0
27,1,3,3,1,0,0
34,1,3,2,1,0,0
31,1,2,1,1,1,0
27,3,1,5,0,0,1
30,2,3,6,0,1,0
29,1,2,2,0,0,0
30,1,3,3,1,0,0
28,3,1,1,0,0,1
29,1,2,1,0,0,0
36,1,3,2,0,1,0
37,1,3,4,1,1,0
30,3,2,1,1,0,1
28,1,2,3,0,0,0
34,1,3,2,0,0,0
38,1,2,1,0,1,0
30,3,1,1,0,0,0
30,1,3,5,1,1,0
33,1,2,4,0,0,0
34,1,3,3,0,1,0
34,3,1,6,0,1,1
37,1,2,1,1,0,0
37,1,3,2,1,0,0
37,1,3,1,0,1,0
37,3,2,1,0,0,0
31,1,3,4,0,1,0
34,1,3,2,0,0,0
30,2,2,1,1,1,0
34,3,1,1,0,0,0
37,1,3,1,0,1,0
33,1,2,5,1,1,1
28,1,3,3,1,0,0
33,3,1,4,1,0,1
31,1,2,1,0,0,0
28,1,2,2,0,0,1
29,1,3,6,0,1,0
38,3,2,1,0,0,0
36,1,3,3,1,0,0
28,2,3,2,0,0,1
29,1,2,4,1,0,0
30,3,1,1,0,1,0
34,3,2,1,1,1,0
29,1,2,2,1,0,1
37,1,3,5,0,1,1
30,3,1,1,0,0,1
37,1,2,1,0,1,0
30,1,3,4,0,0,0
31,1,3,1,1,1,0
30,3,2,1,1,0,1
30,2,3,3,0,0,0
37,1,3,6,0,1,0
37,1,2,1,1,1,0
36,3,1,1,1,0,0
31,1,3,4,0,1,0
36,1,2,2,0,0,0
28,1,2,3,0,1,0
30,3,1,5,0,0,1
28,1,2,1,1,0,0
38,1,3,2,0,0,0
31,1,3,1,0,1,0
29,3,2,4,0,1,0
34,1,3,3,1,0,0
36,3,2,2,1,0,0
37,1,2,1,0,0,0
29,3,1,1,0,0,0
37,1,3,6,0,1,0
38,1,2,2,1,0,1
30,1,3,4,1,1,0
37,3,1,1,0,0,1
35,3,2,5,0,0,1
28,1,3,2,0,1,1
31,2,3,1,1,1,0
34,3,2,1,1,0,1
35,1,3,3,0,0,0
35,1,3,4,0,0,0
35,1,2,1,1,1,0
28,3,1,1,0,0,1
28,1,3,1,1,1,0
28,1,2,2,0,0,1
30,1,3,3,0,0,0
36,3,1,6,0,1,1
30,1,2,4,1,0,0
31,2,3,5,1,0,0
31,1,2,1,0,1,0
28,3,2,1,1,0,1
35,1,3,3,0,1,0
37,1,3,2,0,0,0
29,1,2,1,1,0,0
34,3,1,4,0,0,0
31,1,3,1,0,1,0
30,1,2,2,0,1,0
35,1,3,3,1,1,0
38,3,1,1,1,0,1
27,2,2,1,1,0,0
29,1,3,2,0,0,0
35,1,3,6,0,1,1
29,3,2,1,0,0,0
37,3,2,3,1,0,1
34,1,3,2,0,0,0
37,1,2,1,0,1,0
28,3,1,1,0,1,1
36,1,3,1,1,1,0
30,1,2,4,1,0,1
37,1,3,3,0,0,0
36,3,1,1,0,0,1
33,1,2,1,0,1,0
37,1,3,2,0,0,0
35,1,3,1,1,1,0
27,3,2,5,0,0,1
28,1,3,4,0,0,0
30,1,3,6,0,1,0
34,3,2,1,1,0,0
35,3,1,1,1,0,0
37,1,3,1,0,1,0
27,1,2,2,0,0,1
38,2,3,3,0,1,0
30,3,1,4,0,0,1
30,1,2,1,1,0,0
36,3,2,2,0,0,0
30,1,3,1,0,1,0
34,3,2,1,1,1,1
30,1,3,5,1,0,0
37,1,3,2,1,0,0
37,1,2,4,0,1,0
30,3,1,1,0,0,0
38,3,2,6,0,1,0
36,2,2,2,0,0,0
34,1,3,3,1,0,0
34,3,1,1,0,0,1
31,1,2,1,1,0,0
30,1,3,4,0,1,0
35,1,3,1,1,1,0
33,3,2,1,1,0,1
30,1,3,3,0,0,0
31,1,3,5,0,0,0
29,1,2,1,0,1,0
30,3,1,1,0,0,0
30,2,3,4,1,1,0
30,1,2,2,1,0,1
35,3,2,3,0,1,1
31,3,1,6,0,1,1
27,1,2,1,1,0,0
37,1,3,2,1,0,0
34,1,3,1,0,1,0
30,3,2,4,0,0,0
34,1,3,3,0,1,0
31,1,2,2,0,0,0
34,1,2,5,1,1,0
34,3,1,1,0,0,0
27,1,3,1,0,1,0
30,1,2,2,0,1,0
37,1,3,4,1,0,0
37,3,1,1,1,0,1
37,3,2,1,0,0,0
27,1,3,2,0,0,1
30,1,3,6,0,1,0
31,3,2,1,1,0,1
30,1,3,3,1,0,0
37,1,3,4,0,0,0
34,2,2,1,0,0,0
27,3,1,5,0,1,1
30,1,3,1,1,1,0
34,1,2,2,1,0,1
38,1,3,3,0,1,0
35,3,1,1,0,0,1
34,1,2,4,1,1,0
29,1,3,2,0,0,0
31,1,2,1,1,1,0
30,3,2,1,0,0,0
30,1,3,3,0,0,0
30,2,3,6,0,1,0
34,1,2,1,1,1,0
29,3,1,4,1,0,0
27,1,3,5,0,1,0
29,1,2,2,1,0,1
30,1,3,3,0,1,0
31,3,1,1,0,0,1
34,1,2,1,1,0,0
31,1,3,2,0,0,0
36,1,3,4,0,1,0
37,3,2,1,0,1,0
30,2,2,3,1,0,0
30,1,3,2,1,0,0
30,1,2,1,1,0,0
34,3,1,1,0,0,0
36,1,3,6,0,1,0
30,1,2,5,0,0,0
34,1,3,3,1,1,0
31,3,1,1,0,0,1
30,1,2,1,0,0,0
35,1,3,2,0,1,0
36,1,3,1,1,1,0
27,3,2,1,1,0,1
30,1,3,4,0,0,0
38,1,3,2,0,0,0
31,1,2,1,0,1,0
37,3,1,1,0,0,0
34,1,3,1,1,1,0
30,1,2,2,0,0,0
36,1,3,5,0,0,1
35,3,1,6,0,1,1
30,1,2,1,1,0,0
27,1,2,2,1,0,1
34,2,3,1,0,1,0
30,3,2,1,0,0,0
30,1,3,3,0,1,0
30,1,3,2,0,0,0
30,1,2,4,1,0,0
27,3,1,1,0,0,1
36,3,2,1,0,1,0
30,1,2,2,1,1,1
34,1,3,3,1,1,0
34,3,1,5,1,0,1
37,1,2,1,0,0,0
27,2,3,4,0,0,1
37,1,3,6,0,1,0
30,3,2,1,0,0,0
37,1,3,3,1,0,0
27,1,3,2,0,0,1
31,1,2,1,1,1,0
31,3,1,1,0,1,0
27,1,3,4,1,1,0
27,1,2,2,1,0,1
30,1,2,3,0,0,0
35,3,1,1,0,0,1
28,2,2,5,0,1,0
30,1,3,2,0,0,0
37,1,3,1,1,1,0
30,3,2,4,1,0,1
37,1,3,3,0,0,0
37,3,2,6,0,1,0
30,1,2,1,1,0,0
29,3,1,1,1,0,0
36,1,3,1,0,1,0
30,1,2,2,0,0,0
37,1,3,4,0,1,0
37,3,1,1,0,0,1
31,1,2,1,1,0,0
27,1,3,5,0,0,1
30,1,3,1,0,1,0
29,3,2,1,0,1,0
30,1,3,3,1,0,0
31,1,3,4,1,0,0
36,1,2,1,0,1,0
34,3,1,1,0,0,0
34,1,3,6,0,1,0
30,1,2,2,1,0,1
37,2,3,3,1,0,0
34,3,1,1,0,0,1
30,1,2,4,0,0,0
38,1,3,2,0,1,0
28,1,2,5,1,1,0
27,3,2,1,1,0,1
28,1,3,3,0,0,0
37,1,3,2,0,0,0
27,1,2,1,1,1,0
38,3,1,4,0,0,0
28,1,3,1,1,1,0
36,3,2,2,0,0,0
37,1,3,3,0,1,0
28,3,1,6,0,1,1
30,1,2,1,1,0,0
28,1,3,2,1,0,1
30,1,3,4,0,1,0
27,3,2,5,1,0,1
30,1,2,3,0,1,0
28,1,3,2,0,0,1
30,1,2,1,1,1,0
27,3,1,1,0,0,1
34,2,3,1,0,1,0
37,1,2,4,0,1,0
36,1,3,3,1,0,0
37,3,1,1,1,0,1
31,1,2,1,1,0,0
37,1,3,2,0,0,0
37,1,3,6,0,1,0
31,3,2,1,0,0,0
35,1,3,5,1,0,1
30,1,3,2,0,0,0
36,3,2,1,0,0,0
29,3,1,1,0,1,0
36,1,3,1,1,1,0
37,1,2,2,1,0,1
30,1,3,3,0,1,0
33,3,1,4,0,0,1
31,1,2,1,0,1,0
30,1,2,2,0,0,0
37,1,3,1,1,1,0
31,3,2,1,0,0,0
37,1,3,3,0,0,0
34,1,3,6,0,1,0
28,2,2,4,1,1,0
30,3,1,1,1,0,0
31,1,2,1,0,1,0
35,1,2,2,0,0,0
28,1,3,3,0,1,0
34,3,1,1,0,0,1
30,1,2,1,1,0,0
34,1,3,4,0,0,0
31,1,3,1,0,1,0
30,3,2,1,1,1,1
30,1,3,3,1,0,0
35,2,3,2,1,0,0
30,1,2,5,0,0,0
30,3,1,1,0,0,0
34,1,3,6,0,1,0
34,1,2,2,0,0,0
31,1,2,3,1,1,0
29,3,1,1,0,0,1
30,1,2,1,1,0,0
29,1,3,2,0,1,0
34,1,3,1,1,1,0
34,3,2,4,1,0,1
31,2,3,3,0,0,0
27,1,2,2,0,0,1
38,1,2,1,0,1,0
30,3,1,5,0,0,0
38,1,3,1,1,1,0
36,1,2,2,1,0,1
35,1,3,4,0,0,0
28,3,1,6,0,1,1
34,3,2,1,1,0,0
30,1,3,2,1,0,0
27,1,3,1,0,1,0
30,3,2,1,0,0,0
31,1,3,3,0,1,0
30,1,3,4,0,0,0
34,1,2,1,1,0,0
31,3,1,1,0,0,0
29,1,3,5,0,1,0
34,1,2,2,0,1,0
33,1,3,3,1,1,0
31,3,1,1,1,0,1
30,1,2,4,0,0,0
36,1,3,2,0,0,0
28,2,2,6,0,1,0
31,3,2,1,1,0,1
29,1,3,3,1,0,0
37,1,3,2,0,0,0
34,1,2,1,0,1,0
28,3,1,4,0,1,1
30,1,3,1,1,1,0
28,1,2,5,1,0,1
29,1,3,3,0,0,0
30,3,1,1,0,0,1
37,1,2,1,1,1,0
27,2,3,2,0,0,1
29,1,3,4,1,1,0
36,3,2,1,0,0,0
35,3,2,3,0,0,1
28,1,3,6,0,1,1
36,1,2,1,1,0,0
29,3,1,1,1,0,0
37,1,3,1,0,1,0
31,1,2,4,1,0,1
28,1,3,5,0,1,0
31,3,1,1,0,0,1
36,2,2,1,1,0,0
36,1,3,2,0,0,0
31,1,3,1,0,1,0
30,3,2,1,0,1,0
29,1,3,4,1,0,0
38,1,3,2,1,0,0
38,3,2,1,1,1,0
29,3,1,1,0,0,0
27,1,3,6,0,1,0
35,1,2,2,0,0,0
30,1,3,3,1,0,0
29,3,1,5,0,0,1
31,1,2,1,0,0,0
31,1,2,2,0,1,0
34,1,3,1,1,1,0
29,3,2,1,1,0,1
37,1,3,3,0,0,0
36,1,3,2,0,0,0
34,1,2,4,0,1,0
30,3,1,1,0,0,0
31,1,2,1,1,1,0
31,1,2,2,0,0,0
31,2,3,3,0,1,0
37,3,1,6,0,1,1
30,1,2,5,1,0,0
31,1,3,4,1,0,0
38,1,3,1,0,1,0
28,3,2,1,0,0,1
30,1,3,3,0,1,0
27,1,3,2,0,0,1
27,1,2,1,1,0,0
30,3,1,1,0,0,0
36,1,3,4,0,1,0
27,2,2,2,1,1,1
34,3,2,3,1,0,1
37,3,1,1,1,0,1
38,1,2,1,0,0,0
37,1,3,5,0,0,1
37,1,3,6,0,1,0
37,3,2,4,0,0,0
37,1,3,3,1,0,0
36,3,2,2,0,0,0
35,1,2,1,1,0,0
30,3,1,1,0,1,0
30,2,3,1,1,1,0
30,1,2,2,1,0,1
30,1,3,4,0,1,0
30,3,1,1,0,0,1
34,3,2,1,0,1,0
30,1,3,2,0,0,0
30,1,3,5,1,1,0
34,3,2,1,1,0,1
37,1,3,3,0,0,0
30,1,3,6,0,1,0
29,1,2,1,1,1,0
33,3,1,1,1,0,0
34,1,3,1,0,1,0
38,1,2,2,0,0,0
31,1,3,3,0,1,0
30,3,1,1,0,0,1
35,1,2,4,1,0,0
30,1,3,2,0,0,0
37,3,2,1,0,1,0
34,3,2,5,0,1,0
30,1,3,3,1,0,0
29,1,3,2,1,0,0
30,2,2,1,0,0,0
27,3,1,4,0,0,1
30,1,3,6,0,1,0
36,3,2,2,1,0,1
37,1,3,3,1,1,0
30,3,1,1,0,0,1
37,1,2,1,0,0,0
30,1,3,2,0,1,0
27,1,3,4,1,1,0
37,3,2,1,1,0,1
28,1,2,5,0,0,0
34,2,3,2,0,0,0
29,1,2,1,1,1,0
37,3,1,1,0,0,0
28,1,3,1,1,1,0
30,1,2,4,0,0,0
35,1,3,3,0,0,0
30,3,1,6,0,1,1
30,1,2,1,1,0,0
37,1,3,2,1,0,0
30,1,3,1,0,1,0
30,3,2,1,1,0,1
28,2,3,4,0,1,0
36,1,3,5,0,0,1
36,3,2,1,1,0,0
29,3,1,1,0,0,0
35,1,3,1,0,1,0
30,1,2,2,0,1,0
34,1,3,3,1,1,0
30,3,1,4,1,0,1
33,1,2,1,1,0,0
37,3,2,2,0,0,0
30,1,3,6,0,1,0
30,3,2,1,0,0,0
28,1,3,3,1,0,0
35,1,3,2,0,0,0
37,1,2,5,0,1,1
30,3,1,1,0,1,0
30,1,2,1,1,1,0
28,1,2,2,1,0,1
36,1,3,3,0,0,0
28,3,1,1,0,0,1
30,1,2,1,0,1,0
31,1,3,4,0,0,0
29,2,3,1,1,1,0
33,3,2,1,0,0,0
29,1,3,3,0,0,0
29,1,3,6,0,1,0
31,1,2,1,1,0,0
29,3,1,5,1,0,0
27,1,3,4,0,1,0
28,1,2,2,0,0,1
31,1,2,3,0,1,0
30,3,1,1,0,0,1
28,1,2,1,1,0,0
30,2,3,2,0,0,0
27,1,3,1,0,1,0
37,3,2,4,1,1,1
36,1,3,3,1,0,0
30,1,2,2,1,0,0
36,1,2,1,0,1,0
29,3,1,1,0,0,0
36,1,3,6,0,1,1
34,1,2,2,0,0,0
34,1,3,4,1,0,0
29,3,1,1,0,0,1
37,3,2,1,1,0,0
30,1,3,2,0,1,0
35,1,3,1,1,1,0
27,3,2,1,1,0,1
36,1,3,3,0,0,0
35,1,3,4,0,0,0
30,1,2,1,0,1,0
31,3,1,1,0,0,0
30,1,3,1,1,1,0
29,1,2,5,1,0,1
36,1,3,3,0,1,0
29,3,1,6,0,1,1
37,1,2,4,1,0,0
30,1,3,2,1,0,0
37,3,2,1,0,1,0
36,3,2,1,0,0,0
28,1,3,3,0,1,0
37,1,3,2,0,0,0
30,1,2,1,1,1,0
30,3,1,4,0,0,0
30,1,3,1,0,1,0
30,1,2,2,0,1,0
31,2,3,5,1,0,0
30,3,1,1,1,0,1
29,1,2,1,0,0,0
37,1,3,2,0,0,0
29,1,3,6,0,1,0
37,3,2,1,1,0,1
36,3,2,3,1,0,1
31,1,3,2,0,0,0
27,1,2,1,0,0,0
33,3,1,1,0,1,0
27,1,3,1,1,1,0
37,2,2,4,1,0,1
30,1,3,3,0,1,0
29,3,1,5,0,0,1
34,1,2,1,1,1,0
30,1,3,2,0,0,0
33,1,3,1,1,1,0
29,3,2,1,0,0,0
37,1,3,4,0,0,0
30,1,3,6,0,1,0
33,3,2,1,1,1,0
30,3,1,1,1,0,0
30,2,3,1,0,1,0
36,1,2,2,1,0,1
37,1,3,3,0,1,0
37,3,1,4,0,0,1
37,1,2,5,1,0,1
31,1,2,2,0,0,0
31,1,3,1,0,1,0
30,3,2,1,0,1,0
29,1,3,3,1,0,0
37,1,3,2,1,0,0
30,1,2,4,1,0,0
37,3,1,1,0,0,0
38,3,2,6,0,1,0
30,1,2,2,0,0,0
30,1,3,3,1,1,0
36,3,1,1,0,0,1
35,1,2,1,0,0,0
31,1,3,5,0,1,0
30,1,3,1,1,1,0
29,3,2,1,1,0,1
36,1,3,3,0,0,0
37,1,3,2,0,0,0
29,2,2,1,0,1,0
28,3,1,1,0,0,1
30,1,3,4,1,1,0
30,1,2,2,0,0,0
29,1,2,3,0,0,0
31,3,1,6,0,1,1
37,1,2,1,1,0,0
30,1,3,2,1,0,0
37,1,3,5,0,1,1
33,3,2,4,0,0,0
30,1,3,3,0,1,0
31,2,2,2,0,0,0
38,1,2,1,1,0,0
34,3,1,1,0,0,0
30,1,3,1,0,1,0
35,1,2,2,1,1,1
27,1,3,4,1,0,0
29,3,1,1,1,0,1
29,1,2,1,0,0,0
27,1,3,2,0,0,1
34,1,3,6,0,1,0
29,3,2,5,0,0,0
30,2,3,3,1,0,0
31,1,3,4,0,0,0
34,1,2,1,1,1,0
31,3,1,1,0,1,0
31,1,3,1,1,1,0
37,1,2,2,1,0,1
37,1,3,3,0,0,0
30,3,1,1,0,0,1
35,1,2,4,0,1,0
38,1,3,2,0,0,0
30,1,2,1,1,1,0
30,3,2,1,1,0,1
28,1,3,5,0,0,0
35,1,3,6,0,1,0
30,1,2,1,1,0,0
30,3,1,4,1,0,0
37,1,3,1,0,1,0
34,3,2,2,0,0,0
34,1,3,3,0,1,0
34,3,1,1,0,0,1
33,1,2,1,1,0,0
31,1,3,2,0,0,0
29,2,3,4,0,1,0
31,3,2,1,0,1,0
33,3,2,3,1,0,1
29,1,3,5,1,0,0
37,1,2,1,0,1,0
33,3,1,1,0,0,0
31,1,3,6,0,1,0
28,1,2,4,1,0,1
36,1,3,3,1,0,0
33,3,1,1,0,0,1
31,1,2,1,0,0,0
27,2,3,2,0,1,1
37,1,3,1,1,1,0
29,3,2,1,1,0,1
30,1,3,4,0,0,0
30,1,3,2,0,0,0
27,1,2,5,1,1,0
37,3,1,1,0,0,0
31,1,3,1,1,1,0
30,1,2,2,0,0,0
35,1,3,3,0,1,0
31,3,1,6,0,1,1
30,2,2,1,1,0,0
35,3,2,2,1,0,0
37,1,3,1,0,1,0
28,3,2,1,1,0,1
37,1,3,3,0,1,0
29,1,3,2,0,0,0
37,1,2,4,1,1,0
34,3,1,5,0,0,0
36,3,2,1,0,1,0
38,1,2,2,0,1,0
30,1,3,3,1,0,0
31,3,1,1,1,0,1
31,1,2,1,1,0,0
28,1,3,4,0,0,1
30,1,3,6,0,1,0
37,3,2,1,0,0,0
31,1,3,3,1,0,0
31,1,3,2,0,0,0
36,1,2,1,0,0,0
30,3,1,1,0,1,0
30,1,3,5,1,1,0
31,1,2,2,1,0,1
38,3,2,3,0,1,1
37,3,1,1,0,0,1
35,1,2,1,0,1,0
30,1,3,2,0,0,0
29,1,3,1,1,1,0
34,3,2,4,0,0,0
35,1,3,3,0,0,0
28,1,2,6,0,1,1
37,1,2,1,1,1,0
30,3,1,1,1,0,0
29,1,3,1,0,1,0
30,2,2,5,0,0,0
37,1,3,4,0,1,0
33,3,1,1,0,0,1
30,1,2,1,1,0,0
31,1,3,2,0,0,0
28,1,3,1,0,1,0
34,3,2,1,1,1,1
34,1,3,3,1,0,0
36,1,3,4,1,0,0
30,1,2,1,0,0,0
36,3,1,1,0,0,0
38,2,3,6,0,1,0
27,1,2,2,0,0,1
29,1,3,5,1,1,0
35,3,1,1,0,0,1
30,1,2,4,1,0,0
31,1,3,2,0,1,0
30,1,2,1,1,1,0
28,3,2,1,1,0,1
28,1,3,3,0,0,0
31,1,3,2,0,0,0
30,1,2,1,0,1,0
31,3,1,4,0,0,0
28,1,3,1,1,1,0
30,1,2,2,1,0,1
38,1,3,3,0,0,0
35,3,1,6,0,1,1
34,1,2,1,1,0,0
30,1,3,2,1,0,0
30,1,3,4,0,1,0
38,3,2,1,0,0,0
36,3,2,3,0,1,1
31,1,3,2,0,0,0
31,2,2,1,1,0,0
34,3,1,1,0,0,0
33,1,3,1,0,1,0
30,1,2,4,0,1,0
36,1,3,3,1,1,0
34,3,1,1,1,0,1
34,1,2,5,0,0,0
27,1,3,2,0,0,1
31,1,3,6,0,1,0
36,3,2,1,1,0,1
37,1,3,4,1,0,0
30,2,3,2,0,0,0
30,1,2,1,0,1,0
30,3,1,1,0,1,0
37,1,3,1,1,1,0
28,1,2,2,1,0,1
37,1,3,3,0,0,0
28,3,1,4,0,0,1
37,1,2,1,1,1,0
29,1,2,5,0,0,0
34,1,3,1,1,1,0
34,3,2,1,0,0,0
35,2,3,3,0,0,0
30,1,3,6,0,1,0
28,1,2,4,1,0,0
30,3,1,1,1,0,0
36,3,2,1,0,1,0
28,1,2,2,1,0,1
35,1,3,3,0,1,0
36,3,1,1,0,0,1
31,1,2,1,1,0,0
30,1,3,4,0,0,0
34,1,3,5,0,1,0
33,3,2,1,0,1,0
37,1,3,3,1,0,0
36,1,3,2,1,0,0
28,1,2,1,1,1,0
28,3,1,1,0,0,1
37,1,3,6,0,1,0
30,1,2,2,0,0,0
29,1,2,3,1,0,0
30,3,1,1,0,0,1
30,1,2,1,0,0,0
29,1,3,2,0,1,0
36,2,3,1,1,1,0
30,3,2,5,1,0,1
30,1,3,3,0,0,0
34,3,2,2,0,0,0
27,1,2,1,0,1,0
37,3,1,1,0,0,0
27,1,3,1,1,1,0
31,1,2,2,0,0,0
36,1,3,4,0,1,0
30,3,1,6,0,1,1
27,1,2,1,1,0,0
38,2,3,2,1,0,0
31,1,3,1,0,1,0
31,3,2,1,0,0,0
30,1,3,5,0,1,0
37,1,3,4,0,0,0
30,1,2,1,1,1,0
31,3,1,1,0,0,0
